COD_AGEREV;Desc_lbl_fr;Desc_lbl_en;Desc_lbl_pt
15;15 ans;15 years;15 anos
16;16 ans;16 years;16 anos
17;17 ans;17 years;17 anos
18;18 ans;18 years;18 anos
19;19 ans;19 years;19 anos
20;20 ans;20 years;20 anos
21;21 ans;21 years;21 anos
22;22 ans;22 years;22 anos
23;23 ans;23 years;23 anos
24;24 ans;24 years;24 anos
25;25 ans;25 years;25 anos
26;26 ans;26 years;26 anos
27;27 ans;27 years;27 anos
28;28 ans;28 years;28 anos
29;29 ans;29 years;29 anos
30;30 ans;30 years;30 anos
31;31 ans;31 years;31 anos
32;32 ans;32 years;32 anos
33;33 ans;33 years;33 anos
34;34 ans;34 years;34 anos
35;35 ans;35 years;35 anos
36;36 ans;36 years;36 anos
37;37 ans;37 years;37 anos
38;38 ans;38 years;38 anos
39;39 ans;39 years;39 anos
40;40 ans;40 years;40 anos
41;41 ans;41 years;41 anos
42;42 ans;42 years;42 anos
43;43 ans;43 years;43 anos
44;44 ans;44 years;44 anos
45;45 ans;45 years;45 anos
46;46 ans;46 years;46 anos
47;47 ans;47 years;47 anos
48;48 ans;48 years;48 anos
49;49 ans;49 years;49 anos
50;50 ans;50 years;50 anos
51;51 ans;51 years;51 anos
52;52 ans;52 years;52 anos
53;53 ans;53 years;53 anos
54;54 ans;54 years;54 anos
55;55 ans;55 years;55 anos
56;56 ans;56 years;56 anos
57;57 ans;57 years;57 anos
58;58 ans;58 years;58 anos
59;59 ans;59 years;59 anos
60;60 ans;60 years;60 anos
61;61 ans;61 years;61 anos
62;62 ans;62 years;62 anos
63;63 ans;63 years;63 anos
64;64 ans;64 years;64 anos
65;65 ans;65 years;65 anos
66;66 ans;66 years;66 anos
67;67 ans;67 years;67 anos
68;68 ans;68 years;68 anos
69;69 ans;69 years;69 anos
70;70 ans;70 years;70 anos
71;71 ans;71 years;71 anos
72;72 ans;72 years;72 anos
73;73 ans;73 years;73 anos
74;74 ans;74 years;74 anos
75;75 ans;75 years;75 anos
76;76 ans;76 years;76 anos
77;77 ans;77 years;77 anos
78;78 ans;78 years;78 anos
79;79 ans;79 years;79 anos
80;80 ans;80 years;80 anos
81;81 ans;81 years;81 anos
82;82 ans;82 years;82 anos
83;83 ans;83 years;83 anos
84;84 ans;84 years;84 anos
85;85 ans;85 years;85 anos
86;86 ans;86 years;86 anos
87;87 ans;87 years;87 anos
88;88 ans;88 years;88 anos
89;89 ans;89 years;89 anos
90;90 ans;90 years;90 anos
91;91 ans;91 years;91 anos
92;92 ans;92 years;92 anos
93;93 ans;93 years;93 anos
94;94 ans;94 years;94 anos
95;95 ans;95 years;95 anos
96;96 ans;96 years;96 anos
97;97 ans;97 years;97 anos
98;98 ans;98 years;98 anos
99;99 ans;99 years;99 anos
100;100 ans;100 years;100 anos
101;101 ans;101 years;101 anos
102;102 ans;102 years;102 anos
103;103 ans;103 years;103 anos
104;104 ans;104 years;104 anos
105;105 ans;105 years;105 anos
106;106 ans;106 years;106 anos
107;107 ans;107 years;107 anos
110;110 ans;110 years;110 anos
111;111 ans;111 years;111 anos
115;115 ans;115 years;115 anos
