COD_AGEREVQ;Desc_lbl_fr;Desc_lbl_en;Desc_lbl_pt
15;15 à 19 ans;15 to 19 years;15 a 19 anos
20;20 à 24 ans;20 to 24 years;20 a 24 anos
25;25 à 29 ans;25 to 29 years;25 a 29 anos
30;30 à 34 ans;30 to 34 years;30 a 34 anos
35;35 à 39 ans;35 to 39 years;35 a 39 anos
40;40 à 44 ans;40 to 44 years;40 a 44 anos
45;45 à 49 ans;45 to 49 years;45 a 49 anos
50;50 à 54 ans;50 to 54 years;50 a 54 anos
55;55 à 59 ans;55 to 59 years;55 a 59 anos
60;60 à 64 ans;60 to 64 years;60 a 64 anos
65;65 à 69 ans;65 to 69 years;65 a 69 anos
70;70 à 74 ans;70 to 74 years;70 a 74 anos
75;75 à 79 ans;75 to 79 years;75 a 79 anos
80;80 à 84 ans;80 to 84 years;80 a 84 anos
85;85 à 89 ans;85 to 89 years;85 a 89 anos
90;90 à 94 ans;90 to 94 years;90 a 94 anos
95;95 à 99 ans;95 to 99 years;95 a 99 anos
100;100 à 104 ans;100 to 104 years;100 a 104 anos
105;105 à 109 ans;105 to 109 years;105 a 109 anos
110;110 à 114 ans;110 to 114 years;110 a 114 anos
115;115 à 119 ans;115 to 119 years;115 a 119 anos
