COD_ANAI;Desc_lbl_fr;Desc_lbl_en;Desc_lbl_pt
1900;Année  1900;Year 1900;Ano de 1900
1908;Année  1908;Year 1908;Ano de 1908
1910;Année  1910;Year 1910;Ano de 1910
1911;Année  1911;Year 1911;Ano de 1911
1913;Année  1913;Year 1913;Ano de 1913
1914;Année  1914;Year 1914;Ano de 1914
1916;Année  1916;Year 1916;Ano de 1916
1917;Année  1917;Year 1917;Ano de 1917
1918;Année  1918;Year 1918;Ano de 1918
1919;Année  1919;Year 1919;Ano de 1919
1920;Année  1920;Year 1920;Ano de 1920
1921;Année  1921;Year 1921;Ano de 1921
1922;Année  1922;Year 1922;Ano de 1922
1923;Année  1923;Year 1923;Ano de 1923
1924;Année  1924;Year 1924;Ano de 1924
1925;Année  1925;Year 1925;Ano de 1925
1926;Année  1926;Year 1926;Ano de 1926
1927;Année  1927;Year 1927;Ano de 1927
1928;Année  1928;Year 1928;Ano de 1928
1929;Année  1929;Year 1929;Ano de 1929
1930;Année  1930;Year 1930;Ano de 1930
1931;Année  1931;Year 1931;Ano de 1931
1932;Année  1932;Year 1932;Ano de 1932
1933;Année  1933;Year 1933;Ano de 1933
1934;Année  1934;Year 1934;Ano de 1934
1935;Année  1935;Year 1935;Ano de 1935
1936;Année  1936;Year 1936;Ano de 1936
1937;Année  1937;Year 1937;Ano de 1937
1938;Année  1938;Year 1938;Ano de 1938
1939;Année  1939;Year 1939;Ano de 1939
1940;Année  1940;Year 1940;Ano de 1940
1941;Année  1941;Year 1941;Ano de 1941
1942;Année  1942;Year 1942;Ano de 1942
1943;Année  1943;Year 1943;Ano de 1943
1944;Année  1944;Year 1944;Ano de 1944
1945;Année  1945;Year 1945;Ano de 1945
1946;Année  1946;Year 1946;Ano de 1946
1947;Année  1947;Year 1947;Ano de 1947
1948;Année  1948;Year 1948;Ano de 1948
1949;Année  1949;Year 1949;Ano de 1949
1950;Année  1950;Year 1950;Ano de 1950
1951;Année  1951;Year 1951;Ano de 1951
1952;Année  1952;Year 1952;Ano de 1952
1953;Année  1953;Year 1953;Ano de 1953
1954;Année  1954;Year 1954;Ano de 1954
1955;Année  1955;Year 1955;Ano de 1955
1956;Année  1956;Year 1956;Ano de 1956
1957;Année  1957;Year 1957;Ano de 1957
1958;Année  1958;Year 1958;Ano de 1958
1959;Année  1959;Year 1959;Ano de 1959
1960;Année  1960;Year 1960;Ano de 1960
1961;Année  1961;Year 1961;Ano de 1961
1962;Année  1962;Year 1962;Ano de 1962
1963;Année  1963;Year 1963;Ano de 1963
1964;Année  1964;Year 1964;Ano de 1964
1965;Année  1965;Year 1965;Ano de 1965
1966;Année  1966;Year 1966;Ano de 1966
1967;Année  1967;Year 1967;Ano de 1967
1968;Année  1968;Year 1968;Ano de 1968
1969;Année  1969;Year 1969;Ano de 1969
1970;Année  1970;Year 1970;Ano de 1970
1971;Année  1971;Year 1971;Ano de 1971
1972;Année  1972;Year 1972;Ano de 1972
1973;Année  1973;Year 1973;Ano de 1973
1974;Année  1974;Year 1974;Ano de 1974
1975;Année  1975;Year 1975;Ano de 1975
1976;Année  1976;Year 1976;Ano de 1976
1977;Année  1977;Year 1977;Ano de 1977
1978;Année  1978;Year 1978;Ano de 1978
1979;Année  1979;Year 1979;Ano de 1979
1980;Année  1980;Year 1980;Ano de 1980
1981;Année  1981;Year 1981;Ano de 1981
1982;Année  1982;Year 1982;Ano de 1982
1983;Année  1983;Year 1983;Ano de 1983
1984;Année  1984;Year 1984;Ano de 1984
1985;Année  1985;Year 1985;Ano de 1985
1986;Année  1986;Year 1986;Ano de 1986
1987;Année  1987;Year 1987;Ano de 1987
1988;Année  1988;Year 1988;Ano de 1988
1989;Année  1989;Year 1989;Ano de 1989
1990;Année  1990;Year 1990;Ano de 1990
1991;Année  1991;Year 1991;Ano de 1991
1992;Année  1992;Year 1992;Ano de 1992
1993;Année  1993;Year 1993;Ano de 1993
1994;Année  1994;Year 1994;Ano de 1994
1995;Année  1995;Year 1995;Ano de 1995
1996;Année  1996;Year 1996;Ano de 1996
1997;Année  1997;Year 1997;Ano de 1997
1998;Année  1998;Year 1998;Ano de 1998
1999;Année  1999;Year 1999;Ano de 1999
2000;Année  2000;Year 2000;Ano de 2000
2001;Année  2001;Year 2001;Ano de 2001
2002;Année  2002;Year 2002;Ano de 2002
2003;Année  2003;Year 2003;Ano de 2003
2004;Année  2004;Year 2004;Ano de 2004
2005;Année  2005;Year 2005;Ano de 2005
2006;Année 2006;Year 2006;Ano de 2006
2007;Année 2007;Year 2007;Ano de 2007
2008;Année 2008;Year 2008;Ano de 2008
2009;Année 2009;Year 2009;Ano de 2009
