COD_NA64;Desc_lbl_fr;Desc_lbl_en;Desc_lbl_pt
AZ1;Culture et production animale, chasse et services annexes;Culture and animal production, hunting and related services;Cultura e produção animal, caça e serviços relacionados
AZ2;Sylviculture et exploitation forestière;Forestry and logging;Florestal e madeira
AZ3;Pêche et aquaculture;Fishing and aquaculture;Pesca e aquicultura
BZ0;Industries extractives;Extractive industries;Indústrias extrativas
CA0;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;Manufacture of food, drinks and tobacco products;Fabricação de alimentos, bebidas e produtos de tabaco
CB0;Fabrication de textiles, industrie de l’habillement, industrie du cuir et de la chaussure;Manufacturing of textiles, clothing industry, leather and shoe industry;Fabricação de têxteis, indústria de roupas, indústria de couro e calçados
CC1;Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles ;Woodworking and manufacture of wood and cork products, except furniture;Marcenaria e fabricação de produtos de madeira e cortiça, exceto móveis
CC2;Industrie du papier et du carton;Paper and cardboard industry;Indústria de papel e papelão
CC3;Imprimerie et reproduction d'enregistrements;Printing and reproduction of recordings;Impressão e reprodução de gravações
CD0;Cokéfaction et raffinage;Cokecaction and refining;Cokecaction e refino
CE0;Industrie chimique;Chemical;Químico
CF0;Industrie pharmaceutique;Pharmaceutical industry;Indústria farmacêutica
CG1;Fabrication de produits en caoutchouc et en plastique;Manufacturing of rubber and plastic products;Fabricação de produtos de borracha e plástico
CG2;Fabrication d'autres produits minéraux non métalliques;Manufacture of other non -metallic mineral products;Fabricação de outros produtos minerais não metálicos
CH1;Métallurgie;Metallurgy;Metalurgia
CH2;Fabrication de produits métalliques, à l'exception des machines et des équipements;Manufacture of metal products, with the exception of machines and equipment;Fabricação de produtos de metal, com exceção de máquinas e equipamentos
CI0;Fabrication de produits informatiques, électroniques et optiques;Manufacturing of IT, electronic and optical products;Fabricação dele, produtos eletrônicos e ópticos
CJ0;Fabrication d'équipements électriques;Manufacturing of electrical equipment;Fabricação de equipamentos elétricos
CK0;Fabrication de machines et équipements n.c.a.;Manufacturing of N.C.A.;Fabricação de N.C.A.
CL1;Industrie automobile;Automotive industry;Indústria automotiva
CL2;Fabrication d'autres matériels de transport;Manufacture of other transport materials;Fabricação de outros materiais de transporte
CM1;Autres industries manufacturières n.c.a.;Other manufacturing industries N.C.A.;Outras indústrias de manufatura N.C.A.
CM2;Réparation et installation de machines et d'équipements;Repair and installation of machines and equipment;Reparo e instalação de máquinas e equipamentos
DZ0;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;Production and distribution of electricity, gas, steam and air conditioning;Produção e distribuição de eletricidade, gás, vapor e ar condicionado
EZ1;Captage, traitement et distribution d'eau;Water capture, treatment and distribution;Captura, tratamento e distribuição de água
EZ2;Collecte et traitement des eaux usées, traitement des déchets et dépollution;Wastewater collection and treatment, waste treatment and depollution;Coleta e tratamento de águas residuais, tratamento de resíduos e despolução
FZ0;Construction;Construction;Construção
GZ1;Commerce et réparation d'automobiles et de motocycles;Trade and repair of cars and motorcycles;Comércio e reparo de carros e motocicletas
GZ2;Commerce de gros, à l'exception des automobiles et des motocycles;Wholesale, with the exception of cars and motorcycles;Atacado, com exceção de carros e motocicletas
GZ3;Commerce de détail, à l'exception des automobiles et des motocycles;Retail, with the exception of cars and motorcycles;Varejo, com exceção de carros e motocicletas
HZ1;Transports terrestres et transport par conduites;Land transport and transport by conduct;Transporte terrestre e transporte por conduta
HZ2;Transports par eau;Water transport;Transporte de água
HZ3;Transports aériens;Air transport;Transporte aéreo
HZ4;Entreposage et services auxiliaires des transports;Transport storage and auxiliary services;Transporte de armazenamento e serviços auxiliares
HZ5;Activités de poste et de courrier;Post and mail activities;Publicar e correio atividades
IZ0;Hébergement et restauration;Accommodation and catering;Acomodação e catering
JA1;Edition;Edition;Edição
JA2;Production de films cinématographiques, de vidéo et de programmes de télévision ;Production of motion pictures  video and television programs;Produção de filmes, vídeos e programas de televisão
JB0;Télécommunications;Telecommunications;Telecomunicações
JC0;Programmation, conseil et autres activités informatiques ;Programming, consulting and other IT activities;Programação, consultoria e outras atividades de TI
KZ1;Activités des services financiers, hors assurance et caisses de retraite;Activities of financial services, excluding insurance and pension funds;Atividades de serviços financeiros, excluindo fundos de seguro e pensão
KZ2;Assurance;Insurance;Seguro
KZ3;Activités auxiliaires de services financiers et d'assurance;Auxiliary financial services and insurance activities;Serviços financeiros auxiliares e atividades de seguro
LZ0;Activités immobilières;Real estate activities;Atividades imobiliárias
MA1;Activités juridiques et comptables ;Legal and accounting activities;Atividades jurídicas e contábeis
MA2;Activités d'architecture et d'ingénierie ;Architecture and engineering activities;Atividades de arquitetura e engenharia
MB0;Recherche-développement scientifique;Scientific research-development;Desenvolvimento de pesquisa científica
MC1;Publicité et études de marché;Advertising and market studies;Publicidade e estudos de mercado
MC2;Autres activités spécialisées, scientifiques et techniques et activités vétérinaires;Other specialized, scientific and technical activities and veterinary activities;Outras atividades especializadas, científicas e técnicas e atividades veterinárias
NZ1;Activités de location et location-bail;Rental and rental-lease activities;Atividades de aluguel e aluguel de aluguel
NZ2;Activités liées à l'emploi;Employment -related activities;Atividades relacionadas ao emprego
NZ3;Activités des agences de voyage, voyagistes, services de réservation et activités connexes;Travel agencies, tour operators, reservation services and related activities;Agências de viagens, operadores turísticos, serviços de reserva e atividades relacionadas
NZ4;Enquêtes et sécurité ;Investigations and security;Investigações e segurança
OZ0;Administration publique et défense ;Public administration and defense;Administração pública e defesa
PZ0;Enseignement;Education;Educação
QA0;Activités pour la santé humaine;Human health activities;Atividades de saúde humana
QB0;Hébergement médico-social et social et action sociale sans hébergement;Medico-social and social accommodation and social action without accommodation;Medico-social e acomodação social e ação social sem acomodação
RZ1;Arts, divertissement et musées;Arts, entertainment and museums;Artes, entretenimento e museus
RZ2;Activités sportives, récréatives et de loisirs;Sports, recreational and leisure activities;Atividades esportivas, recreativas e de lazer
SZ1;Activités des organisations associatives;Activities activities;Atividades de atividades
SZ2;Réparation d'ordinateurs et de biens personnels et domestiques;Compensation for computers and personal and domestic goods;Compensação para computadores e bens pessoais e domésticos
SZ3;Autres services personnels;Other personal services;Outros serviços pessoais
TZ0;Activités des ménages en tant qu'employeurs ;Activities of households as employers;Atividades das famílias como empregadoras
UZ0;Activités des organisations et organismes extraterritoriaux;Activities of organizations and extraterritorial organizations;Atividades de organizações e organizações extraterritoriais
